# model dataset graph n_nodes n_4_cliques
ER_iid bio-CE-PG res_0.txt 1692 14705364
ER_iid bio-CE-PG res_10.txt 1692 9038565
ER_iid bio-CE-PG res_11.txt 1692 8787554
ER_iid bio-CE-PG res_12.txt 1691 6939237
ER_iid bio-CE-PG res_13.txt 1691 9286957
ER_iid bio-CE-PG res_14.txt 1692 11736729
ER_iid bio-CE-PG res_15.txt 1692 9546797
ER_iid bio-CE-PG res_16.txt 1692 12375593
ER_iid bio-CE-PG res_17.txt 1691 8165320
ER_iid bio-CE-PG res_18.txt 1692 9515122
ER_iid bio-CE-PG res_19.txt 1691 8627757
ER_iid bio-CE-PG res_1.txt 1692 7139539
ER_iid bio-CE-PG res_20.txt 1692 8219785
ER_iid bio-CE-PG res_21.txt 1690 8270171
ER_iid bio-CE-PG res_22.txt 1692 8174544
ER_iid bio-CE-PG res_23.txt 1692 10113567
ER_iid bio-CE-PG res_24.txt 1691 8136203
ER_iid bio-CE-PG res_25.txt 1691 7203878
ER_iid bio-CE-PG res_26.txt 1692 10710400
ER_iid bio-CE-PG res_27.txt 1691 9306657
ER_iid bio-CE-PG res_28.txt 1690 9456441
ER_iid bio-CE-PG res_29.txt 1692 9671628
ER_iid bio-CE-PG res_2.txt 1692 9183851
ER_iid bio-CE-PG res_30.txt 1692 11702658
ER_iid bio-CE-PG res_31.txt 1691 8421452
ER_iid bio-CE-PG res_32.txt 1692 9932209
ER_iid bio-CE-PG res_33.txt 1692 10227162
ER_iid bio-CE-PG res_34.txt 1692 7826954
ER_iid bio-CE-PG res_35.txt 1691 13167039
ER_iid bio-CE-PG res_36.txt 1692 11715732
ER_iid bio-CE-PG res_37.txt 1691 11486351
ER_iid bio-CE-PG res_38.txt 1692 8259195
ER_iid bio-CE-PG res_39.txt 1692 7798914
ER_iid bio-CE-PG res_3.txt 1692 8839117
ER_iid bio-CE-PG res_40.txt 1692 9801296
ER_iid bio-CE-PG res_41.txt 1691 9104492
ER_iid bio-CE-PG res_42.txt 1692 9239397
ER_iid bio-CE-PG res_43.txt 1692 10816705
ER_iid bio-CE-PG res_44.txt 1691 13250458
ER_iid bio-CE-PG res_45.txt 1692 11257617
ER_iid bio-CE-PG res_46.txt 1692 5981651
ER_iid bio-CE-PG res_47.txt 1691 9175755
ER_iid bio-CE-PG res_48.txt 1692 11276431
ER_iid bio-CE-PG res_49.txt 1692 10692890
ER_iid bio-CE-PG res_4.txt 1692 6657542
ER_iid bio-CE-PG res_50.txt 1690 11360185
ER_iid bio-CE-PG res_51.txt 1690 12590458
ER_iid bio-CE-PG res_52.txt 1689 6429560
ER_iid bio-CE-PG res_53.txt 1692 9030776
ER_iid bio-CE-PG res_54.txt 1692 8853192
ER_iid bio-CE-PG res_55.txt 1691 10590323
ER_iid bio-CE-PG res_56.txt 1692 11173279
ER_iid bio-CE-PG res_57.txt 1691 10031875
ER_iid bio-CE-PG res_58.txt 1691 9533761
ER_iid bio-CE-PG res_59.txt 1692 9741318
ER_iid bio-CE-PG res_5.txt 1692 9109483
ER_iid bio-CE-PG res_60.txt 1692 8575994
ER_iid bio-CE-PG res_61.txt 1692 10667885
ER_iid bio-CE-PG res_62.txt 1691 11553131
ER_iid bio-CE-PG res_63.txt 1689 7444194
ER_iid bio-CE-PG res_64.txt 1692 10146278
