# dataset graph n_nodes n_4_cliques
bio-CE-PG bio-CE-PG_0.txt 1692 455
bio-CE-PG bio-CE-PG_10.txt 1692 480
bio-CE-PG bio-CE-PG_11.txt 1692 498
bio-CE-PG bio-CE-PG_12.txt 1692 433
bio-CE-PG bio-CE-PG_13.txt 1692 444
bio-CE-PG bio-CE-PG_14.txt 1692 437
bio-CE-PG bio-CE-PG_15.txt 1692 442
bio-CE-PG bio-CE-PG_16.txt 1692 444
bio-CE-PG bio-CE-PG_17.txt 1692 480
bio-CE-PG bio-CE-PG_18.txt 1692 439
bio-CE-PG bio-CE-PG_19.txt 1692 442
bio-CE-PG bio-CE-PG_1.txt 1692 448
bio-CE-PG bio-CE-PG_20.txt 1692 447
bio-CE-PG bio-CE-PG_21.txt 1692 435
bio-CE-PG bio-CE-PG_22.txt 1692 423
bio-CE-PG bio-CE-PG_23.txt 1692 452
bio-CE-PG bio-CE-PG_24.txt 1692 479
bio-CE-PG bio-CE-PG_25.txt 1692 475
bio-CE-PG bio-CE-PG_26.txt 1692 442
bio-CE-PG bio-CE-PG_27.txt 1692 446
bio-CE-PG bio-CE-PG_28.txt 1692 405
bio-CE-PG bio-CE-PG_29.txt 1692 488
bio-CE-PG bio-CE-PG_2.txt 1692 407
bio-CE-PG bio-CE-PG_30.txt 1692 487
bio-CE-PG bio-CE-PG_31.txt 1692 427
bio-CE-PG bio-CE-PG_32.txt 1692 485
bio-CE-PG bio-CE-PG_33.txt 1692 490
bio-CE-PG bio-CE-PG_34.txt 1692 417
bio-CE-PG bio-CE-PG_35.txt 1692 432
bio-CE-PG bio-CE-PG_36.txt 1692 483
bio-CE-PG bio-CE-PG_37.txt 1692 414
bio-CE-PG bio-CE-PG_38.txt 1692 457
bio-CE-PG bio-CE-PG_39.txt 1692 459
bio-CE-PG bio-CE-PG_3.txt 1692 442
bio-CE-PG bio-CE-PG_40.txt 1692 477
bio-CE-PG bio-CE-PG_41.txt 1692 461
bio-CE-PG bio-CE-PG_42.txt 1692 485
bio-CE-PG bio-CE-PG_43.txt 1692 428
bio-CE-PG bio-CE-PG_44.txt 1692 409
bio-CE-PG bio-CE-PG_45.txt 1692 431
bio-CE-PG bio-CE-PG_46.txt 1692 473
bio-CE-PG bio-CE-PG_47.txt 1692 417
bio-CE-PG bio-CE-PG_48.txt 1692 421
bio-CE-PG bio-CE-PG_49.txt 1692 433
bio-CE-PG bio-CE-PG_4.txt 1692 484
bio-CE-PG bio-CE-PG_50.txt 1692 410
bio-CE-PG bio-CE-PG_51.txt 1692 423
bio-CE-PG bio-CE-PG_52.txt 1692 498
bio-CE-PG bio-CE-PG_53.txt 1692 454
bio-CE-PG bio-CE-PG_54.txt 1692 428
bio-CE-PG bio-CE-PG_55.txt 1692 423
bio-CE-PG bio-CE-PG_56.txt 1692 429
bio-CE-PG bio-CE-PG_57.txt 1692 468
bio-CE-PG bio-CE-PG_58.txt 1692 452
bio-CE-PG bio-CE-PG_59.txt 1692 437
bio-CE-PG bio-CE-PG_5.txt 1692 430
bio-CE-PG bio-CE-PG_60.txt 1692 449
bio-CE-PG bio-CE-PG_61.txt 1692 412
bio-CE-PG bio-CE-PG_62.txt 1692 434
bio-CE-PG bio-CE-PG_63.txt 1692 471
bio-CE-PG bio-CE-PG_64.txt 1692 426
bio-CE-PG bio-CE-PG_65.txt 1692 463
bio-CE-PG bio-CE-PG_66.txt 1692 423
bio-CE-PG bio-CE-PG_67.txt 1692 443
bio-CE-PG bio-CE-PG_68.txt 1692 396
bio-CE-PG bio-CE-PG_69.txt 1692 385
bio-CE-PG bio-CE-PG_6.txt 1692 449
bio-CE-PG bio-CE-PG_70.txt 1692 473
bio-CE-PG bio-CE-PG_71.txt 1692 423
bio-CE-PG bio-CE-PG_72.txt 1692 426
bio-CE-PG bio-CE-PG_73.txt 1692 412
bio-CE-PG bio-CE-PG_74.txt 1692 460
bio-CE-PG bio-CE-PG_75.txt 1692 430
bio-CE-PG bio-CE-PG_76.txt 1692 441
bio-CE-PG bio-CE-PG_77.txt 1692 450
bio-CE-PG bio-CE-PG_78.txt 1692 478
bio-CE-PG bio-CE-PG_79.txt 1692 445
bio-CE-PG bio-CE-PG_7.txt 1692 461
bio-CE-PG bio-CE-PG_80.txt 1692 424
bio-CE-PG bio-CE-PG_81.txt 1692 467
bio-CE-PG bio-CE-PG_82.txt 1692 430
bio-CE-PG bio-CE-PG_83.txt 1692 472
bio-CE-PG bio-CE-PG_84.txt 1692 450
bio-CE-PG bio-CE-PG_85.txt 1692 441
bio-CE-PG bio-CE-PG_86.txt 1692 448
bio-CE-PG bio-CE-PG_87.txt 1692 455
bio-CE-PG bio-CE-PG_88.txt 1692 499
bio-CE-PG bio-CE-PG_89.txt 1692 500
bio-CE-PG bio-CE-PG_8.txt 1692 443
bio-CE-PG bio-CE-PG_90.txt 1692 421
bio-CE-PG bio-CE-PG_91.txt 1692 438
bio-CE-PG bio-CE-PG_92.txt 1692 456
bio-CE-PG bio-CE-PG_93.txt 1692 465
bio-CE-PG bio-CE-PG_94.txt 1692 461
bio-CE-PG bio-CE-PG_95.txt 1692 425
bio-CE-PG bio-CE-PG_96.txt 1692 402
bio-CE-PG bio-CE-PG_97.txt 1692 405
bio-CE-PG bio-CE-PG_98.txt 1692 406
bio-CE-PG bio-CE-PG_99.txt 1692 482
bio-CE-PG bio-CE-PG_9.txt 1692 453
bio-SC-HT bio-SC-HT_0.txt 2077 451
bio-SC-HT bio-SC-HT_10.txt 2077 518
bio-SC-HT bio-SC-HT_11.txt 2077 467
bio-SC-HT bio-SC-HT_12.txt 2077 467
bio-SC-HT bio-SC-HT_13.txt 2077 471
bio-SC-HT bio-SC-HT_14.txt 2077 474
bio-SC-HT bio-SC-HT_15.txt 2077 519
bio-SC-HT bio-SC-HT_16.txt 2077 515
bio-SC-HT bio-SC-HT_17.txt 2077 463
bio-SC-HT bio-SC-HT_18.txt 2077 484
bio-SC-HT bio-SC-HT_19.txt 2077 480
bio-SC-HT bio-SC-HT_1.txt 2077 492
bio-SC-HT bio-SC-HT_20.txt 2077 502
bio-SC-HT bio-SC-HT_21.txt 2077 446
bio-SC-HT bio-SC-HT_22.txt 2077 503
bio-SC-HT bio-SC-HT_23.txt 2077 536
bio-SC-HT bio-SC-HT_24.txt 2077 476
bio-SC-HT bio-SC-HT_25.txt 2077 511
bio-SC-HT bio-SC-HT_26.txt 2077 494
bio-SC-HT bio-SC-HT_27.txt 2077 488
bio-SC-HT bio-SC-HT_28.txt 2077 467
bio-SC-HT bio-SC-HT_29.txt 2077 476
bio-SC-HT bio-SC-HT_2.txt 2077 485
bio-SC-HT bio-SC-HT_30.txt 2077 479
bio-SC-HT bio-SC-HT_31.txt 2077 495
bio-SC-HT bio-SC-HT_32.txt 2077 560
bio-SC-HT bio-SC-HT_33.txt 2077 499
bio-SC-HT bio-SC-HT_34.txt 2077 499
bio-SC-HT bio-SC-HT_35.txt 2077 512
bio-SC-HT bio-SC-HT_36.txt 2077 447
bio-SC-HT bio-SC-HT_37.txt 2077 517
bio-SC-HT bio-SC-HT_38.txt 2077 488
bio-SC-HT bio-SC-HT_39.txt 2077 475
bio-SC-HT bio-SC-HT_3.txt 2077 534
bio-SC-HT bio-SC-HT_40.txt 2077 471
bio-SC-HT bio-SC-HT_41.txt 2077 453
bio-SC-HT bio-SC-HT_42.txt 2077 496
bio-SC-HT bio-SC-HT_43.txt 2077 481
bio-SC-HT bio-SC-HT_44.txt 2077 490
bio-SC-HT bio-SC-HT_45.txt 2077 483
bio-SC-HT bio-SC-HT_46.txt 2077 516
bio-SC-HT bio-SC-HT_47.txt 2077 477
bio-SC-HT bio-SC-HT_48.txt 2077 483
bio-SC-HT bio-SC-HT_49.txt 2077 484
bio-SC-HT bio-SC-HT_4.txt 2077 556
bio-SC-HT bio-SC-HT_50.txt 2077 555
bio-SC-HT bio-SC-HT_51.txt 2077 492
bio-SC-HT bio-SC-HT_52.txt 2077 551
bio-SC-HT bio-SC-HT_53.txt 2077 501
bio-SC-HT bio-SC-HT_54.txt 2077 509
bio-SC-HT bio-SC-HT_55.txt 2077 489
bio-SC-HT bio-SC-HT_56.txt 2077 473
bio-SC-HT bio-SC-HT_57.txt 2077 470
